#  l    m   clm               slm
  26   10   2.6445020994e-14 -1.4466230360e-13
  26   11  -1.2582648310e-13 -3.2198979096e-13
  26   12  -2.1901825761e-13 -1.5941235597e-13
  26   13  -1.3778095528e-13  9.3119096848e-14
  26   14   6.1338079036e-14  9.5975003652e-14
  26   15   5.0900858056e-14 -7.3923604859e-14
  26   16  -5.1169583286e-14 -9.4508079766e-14
  26   17  -4.5236416122e-14  7.4372535793e-14
  26   18   2.6818536613e-14  3.7387847743e-14
  26   19   1.8101093900e-14 -1.7691898595e-14
  26   20   9.0258780092e-16  2.8523498669e-15
  26   21  -1.2341260513e-14 -9.2248552843e-15
  26   22   1.5616079378e-14  2.7351652842e-15
  26   23  -9.4190739347e-15  9.5286482695e-15
  26   24   1.6825909363e-14  4.2776312205e-14
  26   25   5.2603281930e-15 -2.8802894087e-15
  26   26  -1.3462624566e-14  1.5736320335e-14
  27    0   2.5594630991e-13 -0.0000000000e+00
  27    1  -1.5131809898e-13  2.2946402171e-13
  27    2  -5.4756281564e-14 -3.2236126716e-13
  27    3  -2.7168003134e-13 -1.8925997100e-13
  27    4   6.0230634124e-14 -1.2645736444e-13
  27    5  -2.5123637035e-14 -1.0314986924e-13
  27    6  -8.4313904334e-14 -1.0337776897e-14
  27    7  -1.1327008945e-13 -1.4187427541e-13
  27    8  -9.1549011451e-16 -8.0915136008e-15
  27    9  -1.0103517655e-13  5.5906770125e-14
  27   10   6.5563807941e-14 -2.0422991576e-13
  27   11  -1.1529431183e-13 -2.6549229278e-13
  27   12  -2.9211357477e-13 -6.5132367308e-14
  27   13  -1.0042507398e-13  1.0712485863e-13
  27   14   7.6082752241e-14  6.1336585921e-14
  27   15   4.4948367181e-14 -7.3693726114e-14
  27   16  -5.7281640204e-14 -4.7714018592e-14
  27   17  -5.4923505526e-14  6.0345966678e-14
  27   18   6.8929933962e-14  3.8943825049e-14
  27   19   2.2675681484e-14 -1.7530644787e-14
  27   20  -1.8199218376e-14 -1.3423707312e-14
  27   21  -1.0001263194e-14  1.2626159179e-14
  27   22   9.5176486237e-15 -8.8668657254e-15
  27   23  -2.7163289142e-14 -2.9218192765e-14
  27   24  -1.0896350912e-14  4.8085202529e-15
  27   25   5.0723299071e-15  4.1011068554e-14
  27   26   2.2971637432e-15 -1.2956017609e-14
  27   27  -7.6625429781e-15 -1.0399921821e-14
  28    0  -1.1809452889e-13 -0.0000000000e+00
  28    1  -1.9687122369e-13  2.0465902057e-14
  28    2   1.2487300973e-13 -1.8152849061e-13
  28    3  -1.1420435250e-13  1.9394127317e-13
  28    4  -8.5174085324e-14  5.1144475693e-14
  28    5  -2.3041570859e-13 -1.2041714605e-13
  28    6  -9.2707610302e-14 -8.9314563707e-14
  28    7   1.3335168487e-14 -1.7301452991e-14
  28    8  -2.2317183489e-13  3.4512439630e-14
  28    9   3.6775418801e-14 -1.1017387521e-13
  28   10  -2.6899523273e-14 -1.0415928586e-13
  28   11  -1.8574025774e-13 -1.8086887423e-13
  28   12  -1.9880343035e-13 -9.5008399777e-15
  28   13  -6.6577898634e-14  1.3869032028e-13
  28   14   5.3349766819e-14  2.1811528645e-14
  28   15   2.5220949335e-14 -5.9820577268e-14
  28   16  -4.9352160656e-14 -6.4392394889e-14
  28   17  -2.0149676091e-14  5.7002055554e-14
  28   18   3.5671162071e-14  4.5501102556e-14
  28   19   3.7453996734e-14 -2.8646084565e-14
  28   20  -3.9238117323e-15 -1.5771350993e-14
  28   21  -2.5718261433e-15  1.8827719085e-14
  28   22  -1.2267489580e-14 -8.4931187682e-15
  28   23  -6.5420184137e-15 -5.9572390788e-15
  28   24  -1.2434469224e-15 -2.4531529006e-14
  28   25   2.8717625982e-15 -2.2352490255e-14
  28   26  -5.3440675099e-15 -3.4616240995e-15
  28   27  -8.3402632091e-15 -1.3472060269e-15
